time,fundingRate
2020-09-04 08:00:00.000,-0.00093245
2020-09-04 16:00:00.006,-0.0047698
2020-09-05 00:00:00.000,-0.0005248
2020-09-05 08:00:00.004,-0.00037893
2020-09-05 16:00:00.001,-0.00059827
2020-09-06 00:00:00.004,-0.0075
2020-09-06 08:00:00.000,-0.0075
2020-09-06 16:00:00.000,-0.00158478
2020-09-07 00:00:00.002,0.0001
2020-09-07 08:00:00.004,-0.00373925
2020-09-07 16:00:00.001,-0.00186673
2020-09-08 00:00:00.007,-0.0001184
2020-09-08 08:00:00.006,0.0001
2020-09-08 16:00:00.014,0.0001
2020-09-09 00:00:00.000,0.0001
2020-09-09 08:00:00.000,0.0001
2020-09-09 16:00:00.000,0.00041793
2020-09-10 00:00:00.000,0.0001
2020-09-10 08:00:00.005,0.0001
2020-09-10 16:00:00.000,0.0001
2020-09-11 00:00:00.000,0.0001
2020-09-11 08:00:00.008,0.0001
2020-09-11 16:00:00.000,0.0001
2020-09-12 00:00:00.008,0.0001
2020-09-12 08:00:00.000,0.0001
2020-09-12 16:00:00.008,0.0001
2020-09-13 00:00:00.000,0.0001
2020-09-13 08:00:00.000,0.00097692
2020-09-13 16:00:00.004,0.00041329
2020-09-14 00:00:00.003,0.00070656
2020-09-14 08:00:00.008,0.00044768
2020-09-14 16:00:00.000,0.00121906
2020-09-15 00:00:00.000,0.00124047
2020-09-15 08:00:00.010,0.00011308
2020-09-15 16:00:00.003,0.0001
2020-09-16 00:00:00.014,0.0001
2020-09-16 08:00:00.000,0.0001
2020-09-16 16:00:00.001,0.0001
2020-09-17 00:00:00.006,0.0001
2020-09-17 08:00:00.012,0.0001
2020-09-17 16:00:00.000,0.0001
2020-09-18 00:00:00.001,0.0001
2020-09-18 08:00:00.002,-2.796e-05
2020-09-18 16:00:00.002,0.0001
2020-09-19 00:00:00.000,0.0001
2020-09-19 08:00:00.005,0.0001
2020-09-19 16:00:00.008,0.0001
2020-09-20 00:00:00.002,0.0001
2020-09-20 08:00:00.005,0.0001
2020-09-20 16:00:00.005,0.0001
2020-09-21 00:00:00.000,0.0001
2020-09-21 08:00:00.001,0.0001
2020-09-21 16:00:00.000,0.0001
2020-09-22 00:00:00.001,0.0001
2020-09-22 08:00:00.000,0.0001
2020-09-22 16:00:00.004,0.0001
2020-09-23 00:00:00.007,0.00024145
2020-09-23 08:00:00.001,0.0001
2020-09-23 16:00:00.001,0.0001
2020-09-24 00:00:00.000,0.00011885
2020-09-24 08:00:00.000,0.0001
2020-09-24 16:00:00.000,0.0001
2020-09-25 00:00:00.009,0.0001
2020-09-25 08:00:00.045,0.0001
2020-09-25 16:00:00.000,0.0001
2020-09-26 00:00:00.000,0.0001
2020-09-26 08:00:00.000,0.0001
2020-09-26 16:00:00.005,0.00023696
2020-09-27 00:00:00.000,0.00038418
2020-09-27 08:00:00.000,0.0001943
2020-09-27 16:00:00.019,0.00040368
2020-09-28 00:00:00.001,0.00033765
2020-09-28 08:00:00.000,0.0001334
2020-09-28 16:00:00.002,0.00014808
2020-09-29 00:00:00.000,0.0002062
2020-09-29 08:00:00.000,0.0001
2020-09-29 16:00:00.000,0.00038219
2020-09-30 00:00:00.005,0.00012254
2020-09-30 08:00:00.000,0.0001
2020-09-30 16:00:00.000,0.0001
2020-10-01 00:00:00.000,0.0001
2020-10-01 08:00:00.000,0.0001
2020-10-01 16:00:00.000,0.0001
2020-10-02 00:00:00.011,0.0001
2020-10-02 08:00:00.000,0.0001
2020-10-02 16:00:00.005,0.0001
2020-10-03 00:00:00.000,0.0001
2020-10-03 08:00:00.001,0.0001
2020-10-03 16:00:00.000,0.0001
2020-10-04 00:00:00.000,0.0001
2020-10-04 08:00:00.003,0.0001
2020-10-04 16:00:00.001,0.0001
2020-10-05 00:00:00.000,0.0001
2020-10-05 08:00:00.000,0.0001
2020-10-05 16:00:00.012,0.0001
2020-10-06 00:00:00.000,0.0001
2020-10-06 08:00:00.005,0.0001
2020-10-06 16:00:00.000,-0.0004753
2020-10-07 00:00:00.000,-0.00108639
2020-10-07 08:00:00.000,-0.00240106
2020-10-07 16:00:00.000,-0.00254281
2020-10-08 00:00:00.000,-0.00074017
2020-10-08 08:00:00.009,-0.0027987
2020-10-08 16:00:00.003,-0.00455435
2020-10-09 00:00:00.001,-8.617e-05
2020-10-09 08:00:00.000,0.0001
2020-10-09 16:00:00.004,0.0001
2020-10-10 00:00:00.005,0.0001
2020-10-10 08:00:00.000,0.0001
2020-10-10 16:00:00.011,0.0001
2020-10-11 00:00:00.002,0.0001
2020-10-11 08:00:00.003,-0.0007901
2020-10-11 16:00:00.004,0.0001
2020-10-12 00:00:00.001,0.0001
2020-10-12 08:00:00.000,0.0001
2020-10-12 16:00:00.011,0.0001
2020-10-13 00:00:00.003,0.0001
2020-10-13 08:00:00.000,0.0001
2020-10-13 16:00:00.001,0.0001
2020-10-14 00:00:00.001,0.0001
2020-10-14 08:00:00.000,0.0001
2020-10-14 16:00:00.001,0.0001
2020-10-15 00:00:00.000,0.0001
2020-10-15 08:00:00.000,0.0001
2020-10-15 16:00:00.000,0.0001
2020-10-16 00:00:00.002,0.0001
2020-10-16 08:00:00.003,0.0001
2020-10-16 16:00:00.000,0.0001
2020-10-17 00:00:00.006,0.0001
2020-10-17 08:00:00.007,0.0001
2020-10-17 16:00:00.009,0.0001
2020-10-18 00:00:00.006,0.0001
2020-10-18 08:00:00.000,0.0001
2020-10-18 16:00:00.000,0.0001
2020-10-19 00:00:00.000,0.0001
2020-10-19 08:00:00.000,0.0001
2020-10-19 16:00:00.000,0.0001
2020-10-20 00:00:00.015,0.0001
2020-10-20 08:00:00.000,0.0001
2020-10-20 16:00:00.008,0.0001
2020-10-21 00:00:00.009,0.0001
2020-10-21 08:00:00.004,0.0001
2020-10-21 16:00:00.000,0.0001
2020-10-22 00:00:00.000,0.0001
2020-10-22 08:00:00.000,0.0001
2020-10-22 16:00:00.004,0.0001
2020-10-23 00:00:00.007,0.00016654
2020-10-23 08:00:00.000,0.00022162
2020-10-23 16:00:00.000,0.0001558
2020-10-24 00:00:00.000,0.00011822
2020-10-24 08:00:00.000,0.00011036
2020-10-24 16:00:00.008,0.0001
2020-10-25 00:00:00.005,0.00016526
2020-10-25 08:00:00.014,0.0002479
2020-10-25 16:00:00.000,0.0001
2020-10-26 00:00:00.004,0.0001
2020-10-26 08:00:00.000,0.0001
2020-10-26 16:00:00.000,0.0001
2020-10-27 00:00:00.000,0.0001
2020-10-27 08:00:00.000,0.0001
2020-10-27 16:00:00.000,0.0001
2020-10-28 00:00:00.000,0.0001
2020-10-28 08:00:00.006,0.0001
2020-10-28 16:00:00.001,0.0001
2020-10-29 00:00:00.000,0.0001
2020-10-29 08:00:00.000,0.0001
2020-10-29 16:00:00.000,0.0001
2020-10-30 00:00:00.000,0.0001
2020-10-30 08:00:00.002,0.0001
2020-10-30 16:00:00.002,0.0001
2020-10-31 00:00:00.003,0.0001
2020-10-31 08:00:00.000,0.0001
2020-10-31 16:00:00.000,0.0001
2020-11-01 00:00:00.000,0.0001
2020-11-01 08:00:00.000,0.0001
2020-11-01 16:00:00.000,0.0001
2020-11-02 00:00:00.000,0.0001
2020-11-02 08:00:00.010,0.0001
2020-11-02 16:00:00.000,0.0001
2020-11-03 00:00:00.000,0.0001
2020-11-03 08:00:00.004,0.0001
2020-11-03 16:00:00.009,0.0001
2020-11-04 00:00:00.000,0.0001
2020-11-04 08:00:00.000,5.216e-05
2020-11-04 16:00:00.005,-0.00045359
2020-11-05 00:00:00.017,0.0001
2020-11-05 08:00:00.001,0.0001
2020-11-05 16:00:00.000,0.0001
2020-11-06 00:00:00.000,0.0001
2020-11-06 08:00:00.001,0.0001
2020-11-06 16:00:00.001,0.0001
2020-11-07 00:00:00.001,0.0001
2020-11-07 08:00:00.000,0.00029718
2020-11-07 16:00:00.006,0.00032074
2020-11-08 00:00:00.000,0.0001
2020-11-08 08:00:00.000,0.0001
2020-11-08 16:00:00.000,0.00040983
2020-11-09 00:00:00.007,0.00020504
2020-11-09 08:00:00.001,0.0001
2020-11-09 16:00:00.002,0.0001
2020-11-10 00:00:00.003,0.0001
2020-11-10 08:00:00.011,0.00017982
2020-11-10 16:00:00.000,0.0001
2020-11-11 00:00:00.000,0.0001
2020-11-11 08:00:00.009,0.0001
2020-11-11 16:00:00.003,0.0001
2020-11-12 00:00:00.001,0.0001
2020-11-12 08:00:00.001,0.0001
2020-11-12 16:00:00.000,-0.00029691
2020-11-13 00:00:00.000,0.0001
2020-11-13 08:00:00.000,-0.00059757
2020-11-13 16:00:00.000,0.0001
2020-11-14 00:00:00.005,0.0001
2020-11-14 08:00:00.004,0.0001
2020-11-14 16:00:00.001,0.0001
2020-11-15 00:00:00.001,0.0001
2020-11-15 08:00:00.000,-0.00130701
2020-11-15 16:00:00.003,-0.00054254
2020-11-16 00:00:00.000,0.0001
2020-11-16 08:00:00.010,0.0001
2020-11-16 16:00:00.001,-0.00148723
2020-11-17 00:00:00.002,-0.00091615
2020-11-17 08:00:00.003,0.0001
2020-11-17 16:00:00.003,0.0001
2020-11-18 00:00:00.005,0.00019258
2020-11-18 08:00:00.006,0.0001
2020-11-18 16:00:00.000,0.0001
2020-11-19 00:00:00.008,0.00015114
2020-11-19 08:00:00.000,-0.00018974
2020-11-19 16:00:00.001,0.00026452
2020-11-20 00:00:00.003,0.0001
2020-11-20 08:00:00.005,0.00024967
2020-11-20 16:00:00.000,0.00102859
2020-11-21 00:00:00.000,0.00044317
2020-11-21 08:00:00.000,0.0001
2020-11-21 16:00:00.001,0.00197668
2020-11-22 00:00:00.005,0.00083326
2020-11-22 08:00:00.000,0.0001
2020-11-22 16:00:00.000,0.0001
2020-11-23 00:00:00.005,0.00131968
2020-11-23 08:00:00.000,0.000598
2020-11-23 16:00:00.003,0.00025887
2020-11-24 00:00:00.000,0.00105032
2020-11-24 08:00:00.000,0.0021061
2020-11-24 16:00:00.005,0.00059503
2020-11-25 00:00:00.005,0.00082689
2020-11-25 08:00:00.005,0.00096663
2020-11-25 16:00:00.015,0.00177316
2020-11-26 00:00:00.012,0.0001
2020-11-26 08:00:00.002,-0.00023857
2020-11-26 16:00:00.001,0.0001
2020-11-27 00:00:00.001,-0.00132221
2020-11-27 08:00:00.000,0.0001
2020-11-27 16:00:00.007,0.0001
2020-11-28 00:00:00.007,0.0001
2020-11-28 08:00:00.012,0.0001
2020-11-28 16:00:00.000,0.00012887
2020-11-29 00:00:00.007,0.0001
2020-11-29 08:00:00.000,0.0001
2020-11-29 16:00:00.000,0.0001
2020-11-30 00:00:00.004,0.0001
2020-11-30 08:00:00.007,0.00013295
