time,fundingRate
2020-01-19 16:00:00.000,0.0001
2020-01-20 00:00:00.000,0.0001
2020-01-20 08:00:00.000,0.0001
2020-01-20 16:00:00.000,0.0001
2020-01-21 00:00:00.000,0.0001
2020-01-21 08:00:00.000,0.0001
2020-01-21 16:00:00.000,0.0001
2020-01-22 00:00:00.000,0.0001
2020-01-22 08:00:00.001,0.0001
2020-01-22 16:00:00.000,0.0001
2020-01-23 00:00:00.000,0.0001
2020-01-23 08:00:00.000,0.0001
2020-01-23 16:00:00.000,0.0001
2020-01-24 00:00:00.000,0.0001
2020-01-24 08:00:00.000,0.0001
2020-01-24 16:00:00.001,0.0001
2020-01-25 00:00:00.000,0.0001
2020-01-25 08:00:00.000,0.0001
2020-01-25 16:00:00.001,0.0001
2020-01-26 00:00:00.000,0.0001
2020-01-26 08:00:00.000,0.0001
2020-01-26 16:00:00.000,0.0001
2020-01-27 00:00:00.000,0.0001
2020-01-27 08:00:00.001,0.0001
2020-01-27 16:00:00.000,0.0001
2020-01-28 00:00:00.000,0.0001
2020-01-28 08:00:00.000,0.0001
2020-01-28 16:00:00.000,0.0001
2020-01-29 00:00:00.001,0.0001
2020-01-29 08:00:00.000,0.0001
2020-01-29 16:00:00.002,0.0001
2020-01-30 00:00:00.000,0.0001
2020-01-30 08:00:00.000,0.0001
2020-01-30 16:00:00.000,0.0001
2020-01-31 00:00:00.000,0.0001
2020-01-31 08:00:00.000,0.0001
2020-01-31 16:00:00.000,0.0001
2020-02-01 00:00:00.000,0.00028825
2020-02-01 08:00:00.000,0.00172479
2020-02-01 16:00:00.000,0.00138881
2020-02-02 00:00:00.000,0.00017866
2020-02-02 08:00:00.000,0.0001
2020-02-02 16:00:00.000,0.0001
2020-02-03 00:00:00.000,0.0001
2020-02-03 08:00:00.000,0.0001
2020-02-03 16:00:00.000,0.0001
2020-02-04 00:00:00.000,0.0001
2020-02-04 08:00:00.001,0.0001
2020-02-04 16:00:00.000,0.00023926
2020-02-05 00:00:00.002,0.00011405
2020-02-05 08:00:00.000,0.0001
2020-02-05 16:00:00.000,0.00054619
2020-02-06 00:00:00.000,0.00132826
2020-02-06 08:00:00.000,0.00222648
2020-02-06 16:00:00.000,0.00112521
2020-02-07 00:00:00.000,0.00115874
2020-02-07 08:00:00.000,0.00106528
2020-02-07 16:00:00.001,0.00127669
2020-02-08 00:00:00.000,0.00181912
2020-02-08 08:00:00.000,0.00156856
2020-02-08 16:00:00.000,0.001835
2020-02-09 00:00:00.000,0.00169221
2020-02-09 08:00:00.000,0.00173212
2020-02-09 16:00:00.000,0.00125957
2020-02-10 00:00:00.000,0.00163851
2020-02-10 08:00:00.000,0.00089207
2020-02-10 16:00:00.009,0.00110335
2020-02-11 00:00:00.000,0.00036643
2020-02-11 08:00:00.000,0.0005795
2020-02-11 16:00:00.000,0.00030573
2020-02-12 00:00:00.000,0.000462
2020-02-12 08:00:00.001,0.00185711
2020-02-12 16:00:00.000,0.00138401
2020-02-13 00:00:00.001,0.00207113
2020-02-13 08:00:00.000,0.00182196
2020-02-13 16:00:00.000,0.00176818
2020-02-14 00:00:00.000,0.00078438
2020-02-14 08:00:00.000,0.00053637
2020-02-14 16:00:00.000,0.00141917
2020-02-15 00:00:00.000,0.00144392
2020-02-15 08:00:00.000,0.00214551
2020-02-15 16:00:00.000,0.00189974
2020-02-16 00:00:00.000,0.00071869
2020-02-16 08:00:00.000,0.00014895
2020-02-16 16:00:00.000,0.0001
2020-02-17 00:00:00.000,0.0001
2020-02-17 08:00:00.000,0.0001
2020-02-17 16:00:00.000,0.0001
2020-02-18 00:00:00.000,0.0001
2020-02-18 08:00:00.000,0.0001
2020-02-18 16:00:00.000,0.00013118
2020-02-19 00:00:00.000,0.0001
2020-02-19 08:00:00.001,0.0001
2020-02-19 16:00:00.000,0.0001
2020-02-20 00:00:00.004,0.0001
2020-02-20 08:00:00.000,0.0001
2020-02-20 16:00:00.000,0.0001
2020-02-21 00:00:00.000,0.0001
2020-02-21 08:00:00.000,0.0001
2020-02-21 16:00:00.000,0.0001
2020-02-22 00:00:00.000,0.0001
2020-02-22 08:00:00.001,0.0001
2020-02-22 16:00:00.000,0.0001
2020-02-23 00:00:00.000,0.0001
2020-02-23 08:00:00.000,0.0001
2020-02-23 16:00:00.000,0.0001
2020-02-24 00:00:00.015,0.0001
2020-02-24 08:00:00.000,0.0001
2020-02-24 16:00:00.000,0.0001
2020-02-25 00:00:00.001,0.0001
2020-02-25 08:00:00.000,0.0001
2020-02-25 16:00:00.001,0.0001
2020-02-26 00:00:00.000,0.00027529
2020-02-26 08:00:00.001,0.0001
2020-02-26 16:00:00.000,0.0001
2020-02-27 00:00:00.001,0.0001
2020-02-27 08:00:00.001,0.0001
2020-02-27 16:00:00.000,0.0001
2020-02-28 00:00:00.000,0.0001
2020-02-28 08:00:00.000,0.0001
2020-02-28 16:00:00.000,0.00033816
2020-02-29 00:00:00.000,0.0001
2020-02-29 08:00:00.000,0.00062992
2020-02-29 16:00:00.000,0.00027063
2020-03-01 00:00:00.000,0.0001
2020-03-01 08:00:00.000,0.00036824
2020-03-01 16:00:00.001,0.00053043
2020-03-02 00:00:00.000,0.00019735
2020-03-02 08:00:00.000,0.00031202
2020-03-02 16:00:00.004,0.00048322
2020-03-03 00:00:00.000,0.0001
2020-03-03 08:00:00.003,0.0001
2020-03-03 16:00:00.000,0.00015909
2020-03-04 00:00:00.002,0.0001
2020-03-04 08:00:00.000,0.00112036
2020-03-04 16:00:00.001,0.00040273
2020-03-05 00:00:00.000,0.0001
2020-03-05 08:00:00.000,0.0006528
2020-03-05 16:00:00.000,0.00012804
2020-03-06 00:00:00.003,0.0001
2020-03-06 08:00:00.000,0.00064016
2020-03-06 16:00:00.000,0.00059602
2020-03-07 00:00:00.000,0.00079418
2020-03-07 08:00:00.001,0.00087655
2020-03-07 16:00:00.000,0.00036173
2020-03-08 00:00:00.001,0.0001
2020-03-08 08:00:00.000,0.00017779
2020-03-08 16:00:00.006,0.0001
2020-03-09 00:00:00.000,0.0001
2020-03-09 08:00:00.000,0.0001
2020-03-09 16:00:00.000,0.0001
2020-03-10 00:00:00.000,0.0001
2020-03-10 08:00:00.000,0.0001
2020-03-10 16:00:00.000,0.0001
2020-03-11 00:00:00.001,0.0001
2020-03-11 08:00:00.000,0.0001
2020-03-11 16:00:00.000,0.0001
2020-03-12 00:00:00.001,0.0001
2020-03-12 08:00:00.001,0.0001
2020-03-12 16:00:00.000,-0.0001266
2020-03-13 00:00:00.000,-3.471e-05
2020-03-13 08:00:00.000,0.0001
2020-03-13 16:00:00.002,0.0001
2020-03-14 00:00:00.000,0.0001
2020-03-14 08:00:00.001,0.0001
2020-03-14 16:00:00.000,7.226e-05
2020-03-15 00:00:00.000,0.0001
2020-03-15 08:00:00.000,0.0001
2020-03-15 16:00:00.001,0.0001
2020-03-16 00:00:00.000,0.0001
2020-03-16 08:00:00.000,-0.00017085
2020-03-16 16:00:00.001,-0.00014356
2020-03-17 00:00:00.000,0.0001
2020-03-17 08:00:00.000,0.0001
2020-03-17 16:00:00.000,5.626e-05
2020-03-18 00:00:00.000,0.0001
2020-03-18 08:00:00.000,-0.00134546
2020-03-18 16:00:00.000,-0.00240728
2020-03-19 00:00:00.000,-0.00108031
2020-03-19 08:00:00.000,0.0001
2020-03-19 16:00:00.000,0.0001
2020-03-20 00:00:00.000,0.0001
2020-03-20 08:00:00.000,0.0001
2020-03-20 16:00:00.000,0.0001
2020-03-21 00:00:00.000,5.569e-05
2020-03-21 08:00:00.000,0.0001
2020-03-21 16:00:00.000,0.0001
2020-03-22 00:00:00.000,-0.00015758
2020-03-22 08:00:00.001,6.109e-05
2020-03-22 16:00:00.000,0.0001
2020-03-23 00:00:00.000,5.94e-05
2020-03-23 08:00:00.000,0.0001
2020-03-23 16:00:00.000,0.0001
2020-03-24 00:00:00.000,-1.902e-05
2020-03-24 08:00:00.000,-0.00035908
2020-03-24 16:00:00.000,-0.00042337
2020-03-25 00:00:00.000,-0.00014215
2020-03-25 08:00:00.000,0.0001
2020-03-25 16:00:00.001,0.0001
2020-03-26 00:00:00.006,-0.00042581
2020-03-26 08:00:00.002,-0.00102275
2020-03-26 16:00:00.000,-0.00062768
2020-03-27 00:00:00.000,0.0001
2020-03-27 08:00:00.000,-2.985e-05
2020-03-27 16:00:00.000,-0.00010548
2020-03-28 00:00:00.000,-0.00010882
2020-03-28 08:00:00.000,0.0001
2020-03-28 16:00:00.000,-0.0003598
2020-03-29 00:00:00.000,0.0001
2020-03-29 08:00:00.001,0.0001
2020-03-29 16:00:00.000,0.0001
2020-03-30 00:00:00.000,0.0001
2020-03-30 08:00:00.000,0.0001
2020-03-30 16:00:00.000,-1.708e-05
2020-03-31 00:00:00.000,-0.00062293
2020-03-31 08:00:00.001,0.0001
2020-03-31 16:00:00.001,0.0001
2020-04-01 00:00:00.002,-0.00019638
2020-04-01 08:00:00.000,-0.00023523
2020-04-01 16:00:00.001,-0.00013235
2020-04-02 00:00:00.000,8.3e-06
2020-04-02 08:00:00.000,0.0001
2020-04-02 16:00:00.000,7.949e-05
2020-04-03 00:00:00.000,0.0001
2020-04-03 08:00:00.000,0.0001
2020-04-03 16:00:00.000,0.0001
2020-04-04 00:00:00.000,0.0001
2020-04-04 08:00:00.000,0.0001
2020-04-04 16:00:00.000,0.0001
2020-04-05 00:00:00.001,0.0001
2020-04-05 08:00:00.000,0.0001
2020-04-05 16:00:00.000,0.0001
2020-04-06 00:00:00.000,8.179e-05
2020-04-06 08:00:00.000,4.29e-05
2020-04-06 16:00:00.000,-0.0003109
2020-04-07 00:00:00.000,-0.00045809
2020-04-07 08:00:00.000,0.0001
2020-04-07 16:00:00.000,0.0001
2020-04-08 00:00:00.000,0.0001
2020-04-08 08:00:00.000,0.0001
2020-04-08 16:00:00.000,0.0001
2020-04-09 00:00:00.000,0.0001
2020-04-09 08:00:00.001,0.0001
2020-04-09 16:00:00.000,0.0001
2020-04-10 00:00:00.001,0.0001
2020-04-10 08:00:00.000,0.0001
2020-04-10 16:00:00.000,0.0001
2020-04-11 00:00:00.000,5.17e-06
2020-04-11 08:00:00.000,0.0001
2020-04-11 16:00:00.000,-2.325e-05
2020-04-12 00:00:00.000,-0.00032269
2020-04-12 08:00:00.006,-0.00027301
2020-04-12 16:00:00.001,0.0001
2020-04-13 00:00:00.001,0.0001
2020-04-13 08:00:00.000,0.0001
2020-04-13 16:00:00.000,0.0001
2020-04-14 00:00:00.000,0.0001
2020-04-14 08:00:00.000,6.502e-05
2020-04-14 16:00:00.000,0.0001
2020-04-15 00:00:00.000,0.0001
2020-04-15 08:00:00.000,5.126e-05
2020-04-15 16:00:00.000,4.894e-05
2020-04-16 00:00:00.000,-0.00022656
2020-04-16 08:00:00.000,-0.00058149
